Kodas:;Pavadinimas:;mato vnt:;Ilgis:;Kaina:;Paveikslėlio adresas:;Spalvos RAL;Svoris:;Filtras:;Part name:;Filter en;Kategorija
7337;"Lietlovis ""GIGA-XS""(7337)";m;"4.05;5.05;6.05;7.05;1";71,06;7337;"7016; 8017";6359;Stoginė;"Gutter ""GIGA-XS""(7337)";Roof;Profiliai
7785;"Lietlovis ""Eco XS""(7785)";m;"6.05;7.05;1";40,91;7785;"7016; 8017";3661;Stoginė;"Gutter ""ECO-XS""(7785)";Roof;Profiliai
7339;Sienos profilis(7339);m;"4.05;5.05;6.05;7.05;1";23,19;7339;"7016; 8017";2075;Stoginė;Wall profile(7339);Roof;Profiliai
7338;"Dangtelis ""click""(7338)";m;"5.7;1";7,58;7338;"7016; 8017";678;Stoginė;"Cover ""click""(7338)";Roof;Profiliai
7427;Lietlovio (Giga-XS) dangtelis(7427);m;"7;1";18,86;7427;"7016; 8017";1688;Stoginė;"Cover ""Giga XS""(7337)";Roof;Profiliai
7060;Prispaudėjo dangtelis(7060);m;"6;7;1";2,79;7060;"7016; 8017";250;Stoginė;Glass clamp cover(7060);Roof;Profiliai
7061;Prispaudėjo šoninis dangtelis(7061);m;"4;7;1";4,47;7061;"7016; 8017";400;Stoginė;Glass clamp side cover(7061);Roof;Profiliai
7494;"Gegnė ""ECO""(7494)";m;"6;1";20,06;7494;"7016; 8017";1795;Stoginė;"Rafter ""ECO""(7494)";Roof;Profiliai
7495;"Gegnė šoninė ""ECO""(7495)";m;"6;1";18,74;7495;"7016; 8017";1677;Stoginė;"Rafter side ""ECO""(7495)";Roof;Profiliai
7057;"Gegnė ""STANDART""(7057)";m;"7;1";24,73;7057;"7016; 8017";2213;Stoginė;"Rafter ""STANDART""(7057)";Roof;Profiliai
7058;"Gegnė šoninė ""STANDART""(7058)";m;"7;1";29,02;7058;"7016; 8017";2597;Stoginė;"Rafter side ""STANDART""(7058)";Roof;Profiliai
7055;"Gegnė ""PREMIUM""(7055)";m;"4;5;6;1";38,70;7055;"7016; 8017; mill";3463;Stoginė;"Rafter ""PREMIUM""(7055)";Roof;Profiliai
7056;"Gegnė šoninė ""PREMIUM""(7056)";m;"4;5;1";42,55;7056;"7016; 8017";3808;Stoginė;"Rafter side ""PREMIUM""(7056)";Roof;Profiliai
1102;"Gegnė ""RYGEL""(1102)";m;"6.8;1";30,00;1102;"7016; 8017";1590;Stoginė;"Rafter ""RYGEL"" 1102";Roof;Profiliai
5688;"Atrama ""100x100"" (5688)";m;"5;7;1";23,66;5688;"7016; 8017";2200;Stoginė;"Post ""100x100""(5688)";Roof;Profiliai
